REGISTRATION_SCHOOL_CODE,REGISTRATION_SCHOOL_YEAR,REGISTRATION_ASN,REGISTRATION_START_DATE,REGISTRATION_EXIT_DATE
0590,2024,018001843,05-SEP-23,26-JUN-24
1105,2024,014009840,05-SEP-23,26-JUN-24
0590,2024,022741806,05-SEP-23,26-JUN-24
1115,2024,045090512,05-SEP-23,26-JUN-24
1115,2024,007663173,05-SEP-23,26-JUN-24
1115,2024,016495039,05-SEP-23,26-JUN-24
1424,2024,009097958,05-SEP-23,26-JUN-24
0590,2024,039473849,05-SEP-23,26-JUN-24
0590,2024,016823073,05-SEP-23,26-JUN-24
0590,2024,025837916,05-SEP-23,26-JUN-24
1115,2024,030176276,05-SEP-23,26-JUN-24
1111,2024,035879064,05-SEP-23,26-JUN-24
1306,2024,051018035,05-SEP-23,26-JUN-24
1103,2024,049367841,05-SEP-23,26-JUN-24
1102,2024,034457300,05-SEP-23,26-JUN-24
1108,2024,003752491,05-SEP-23,26-JUN-24
1109,2024,023198550,05-SEP-23,26-JUN-24
0590,2024,002316983,05-SEP-23,26-JUN-24
1108,2024,038729126,05-SEP-23,26-JUN-24
1111,2024,024862394,05-SEP-23,26-JUN-24
1105,2024,039703666,05-SEP-23,26-JUN-24
1102,2024,005707931,05-SEP-23,26-JUN-24
1306,2024,027104265,05-SEP-23,26-JUN-24
1112,2024,037013928,05-SEP-23,26-JUN-24
1112,2024,046961661,05-SEP-23,26-JUN-24
1101,2024,019200824,05-SEP-23,26-JUN-24
1203,2023,048633052,23-SEP-22,27-JUN-23
2078,2023,043559492,29-SEP-22,27-JUN-23
1112,2023,012952363,17-OCT-22,27-JUN-23
1424,2023,035755967,26-OCT-22,27-JUN-23
1424,2023,038674439,01-NOV-22,27-JUN-23
2239,2023,008680762,04-NOV-22,27-JUN-23
1112,2022,009301046,03-MAR-22,28-JUN-22
2239,2022,014865670,24-FEB-22,28-JUN-22
2078,2023,027937888,22-NOV-22,27-JUN-23
2239,2022,033182594,02-MAR-22,28-JUN-22
1115,2023,048332416,24-NOV-22,27-JUN-23
2239,2023,051060151,28-NOV-22,27-JUN-23
2239,2022,030534946,09-MAR-22,28-JUN-22
1115,2022,011811677,09-MAR-22,24-MAR-22
1104,2023,011014991,20-DEC-22,27-JUN-23
2078,2023,027201673,21-DEC-22,27-JUN-23
1306,2023,036804350,09-JAN-23,27-JUN-23
2078,2022,021493359,20-APR-22,28-JUN-22
1104,2022,045712891,02-MAY-22,28-JUN-22
2239,2023,002430420,10-JAN-23,27-JUN-23
1306,2023,047616595,09-JAN-23,27-JUN-23
1302,2022,046483674,25-APR-22,28-JUN-22
1115,2023,035134528,09-JAN-23,27-JUN-23
2239,2022,039874871,29-APR-22,28-JUN-22
1306,2022,007303853,12-MAY-22,28-JUN-22
2239,2023,036763747,05-OCT-22,22-DEC-22
2239,2023,012478013,20-JAN-23,27-JUN-23
2239,2023,028963990,30-JAN-23,27-JUN-23
1306,2024,027605840,05-SEP-23,26-JUN-24
1115,2024,000686908,05-SEP-23,26-JUN-24
1102,2024,032130057,05-SEP-23,26-JUN-24
2078,2024,018262445,05-SEP-23,26-JUN-24
1111,2024,030357165,05-SEP-23,26-JUN-24
2078,2024,017251050,05-SEP-23,26-JUN-24
1104,2024,046840238,05-SEP-23,26-JUN-24
2078,2024,027227652,05-SEP-23,26-JUN-24
1105,2024,021371068,05-SEP-23,26-JUN-24
1303,2024,051506054,05-SEP-23,26-JUN-24
1203,2024,014118492,05-SEP-23,26-JUN-24
1112,2024,034671926,05-SEP-23,26-JUN-24
1102,2024,002191345,05-SEP-23,26-JUN-24
0590,2024,025717043,05-SEP-23,26-JUN-24
