COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
HCS3050,Reproduction & Readiness for Parenting,Reproduction/Parenting,Reproduction et parentage,Reproduction/parentage
HEC2601,Clothing & Textiles 20,Clothing & Textiles 20,Vetements et text. 20,Vetements et text. 20
HEC1601,Clothing & Textiles 10,Clothing & Textiles 10,Vetements et text. 10,Vetements et text. 10
HES1050,Digestive System,Digestive System,Sys digestif,Sys digestif
HES2060,Infection & Immunity 3,Infection & Immunity 3,Infection et immun 3,Infection et immun 3
HES3120,EarlyLearn&ChildCare 3,EarlyLearn&ChildCare 3,Garde jeunes et enfants 3,Garde jeunes et enfants 3
HSA3785,HSA Practicum C,HSA Practicum C,HSA - Cours pratique C,HSA - Cours pratique C
IED1832,Beauty Culture 12,Beauty Culture 12,Esthetique 12,Esthetique 12
IED3824,Automotives 32A,Automotives 32A,Services automobiles 32A,Services automobiles 32A
IED3818,Auto Body 32C,Auto Body 32C,Carrosserie 32C,Carrosserie 32C
IED3881,Electricity 32B,Electricity 32B,Electricite 32B,Electricite 32B
INA3435,Wool & Fibreglass,Wool & Fibreglass,Laine et fibre de verre,Laine et fibre de verre
IOP2843,Subtrades 26,Subtrades 26,Metiers 26,Metiers 26
JRH7150,Social Studies 7,Social Studies 7,Etudes sociales 7,Etudes sociales 7
JRH7103,Français 7,Français 7,Français 7,Francais 7
JRH7450,Religious Studies 7,Religious Studies 7,Etudes religieuses 7,Etudes religieuses 7
JRH8130,Health & Pers Life Sk 8,Health & Pers Life Sk 8,Hygiene et dev. pers. 8,Hygiene et dev. pers. 8
JRH8120,Phys Ed & Health 8,Phys Ed & Health 8,Educ. phys. et hyg. 8,Educ. phys. et hyg. 8
JRH8110,Mathematics 8,Mathematics 8,Mathematiques 8,Mathematiques 8
KAE1594,Workplace Readiness 10-4,Workplace Readi 10-4,Prép. au travail 10-4,Prep. au travail 10-4
KAE1589,Human Care 10-4,Human Care 10-4,Soins médicaux 10-4,Soins medicaux 10-4
KAE1587,Horticulture 10-4,Horticulture 10-4,Horticulture 10-4,Horticulture 10-4
