SECTION_ID,SECTION_CREDITS,SECTION_DELIVERY_SCHEDULE,SECTION_DESCRIPTION,SECTION_START_DATE,SECTION_END_DATE,SECTION_LANGUAGE,SECTION_REFID,SECTION_SCHOOL_CODE,SECTION_SCHOOL_YEAR,SECTION_TERM,SECTION_COURSE_CODE
1583833,5,REG,FNA2425V.1 - Instrumental Music 20 (Variable),30-JAN-22,28-JUN-22,EN,0bc713ff-e836-47e2-a1d2-00cb0bd23433,0590,2022,Semester2,FNA2425
1583837,5,REG,SCN2270C.C - Science 20 (CONNECT),18-FEB-22,28-JUN-22,EN,483d6f3d-2723-47ef-8215-d2c036f435b5,0590,2022,FullYear,SCN2270
1583856,3,REG,LDC14493.41 - Yoga 15 (3 cr),04-FEB-22,28-JUN-22,EN,ba23fde8-0eef-45c1-95d6-4a5443453708,1101,2022,Quarter4,LDC1449
1583865,5,REG,RAP4152.1 - Plumber 15,08-FEB-23,27-JUN-23,EN,149b63e0-b0e0-47c2-859c-99f1269ecae0,1101,2023,Semester2,RAP4152
1583867,5,REG,LDC1599V.3 - Learning Strategies (2018)15(VARIABLE,03-FEB-22,28-JUN-22,EN,b0a2a3a9-8b3c-4d56-a464-1cb4d9b97c57,1108,2022,Semester2,LDC1599
1583871,1,REG,CON1120.3 - Product Management,03-FEB-22,18-APR-22,EN,92254474-acb5-4269-9094-f2d0a1c24607,1101,2022,Quarter3,CON1120
1583873,1,REG,CON1130.3 - Solid Stock Construction,03-FEB-22,18-APR-22,EN,a00c42c1-61cf-4b16-8f13-0b8c235a4d8d,1101,2022,Quarter3,CON1130
1583879,1,REG,CON1180.3 - Mould Making & Casting,03-FEB-22,18-APR-22,EN,a13667d0-e27a-443a-82f6-125065bdb837,1101,2022,Quarter3,CON1180
1583889,3,REG,SSN2171.2 - Personal Psychology 20,03-FEB-22,28-JUN-22,EN,ac519345-8c68-4628-87fc-b4de6e2779ee,1108,2022,Semester2,SSN2171
1583921,5,REG,RAP2989.3 - Heavy Equipment Technician 25B,13-FEB-23,27-JUN-23,EN,8fb2913c-ea12-4591-80fd-8f6611f71e1c,0590,2023,FullYear,RAP2989
1583922,1,REG,COM3225.C - Photography - Colour,13-FEB-23,27-JUN-23,EN,440ad9c6-e455-49ca-a973-574786addb11,0590,2023,FullYear,COM3225
1581895,5,REG,KAE2780.2 - English 20-4,03-AUG-21,28-JUN-22,EN,4f163ef3-d805-46df-bf47-c338b9cd2561,0590,2022,Semester2,KAE2780
1582073,5,REG,PED1445V.22 - Physical Education 10 (Variable Cred,03-AUG-21,28-JUN-22,EN,bd33b87e-7fc9-4f11-af5e-c557804d5fe6,1108,2022,Semester2,PED1445
1582105,5,REG,SCN1288.1 - Science 14,03-AUG-21,30-JAN-22,EN,39a5e717-51cd-480b-8ae1-cd77af98b6f8,1108,2022,Semester1,SCN1288
1582131,5,REG,PED2445V.2 - Physical Education 20 (Variable Credi,02-AUG-22,30-JAN-23,EN,62278ab6-0450-4e9e-9934-efdb8a04954c,0590,2023,Semester1,PED2445
1582225,5,REG,SST3772.2 - Social Studies 30-2,02-AUG-22,27-JUN-23,EN,3bb5d221-ec0b-4b1b-8e9a-4f9579255b4c,0590,2023,Semester2,SST3772
1582230,5,REG,LDC1599V.1 - Learning Strategies (2018)15(VARIABLE,03-AUG-21,30-JAN-22,EN,5cb112b9-c5e7-4263-8311-b70fb78aea13,1108,2022,Semester1,LDC1599
1582233,5,REG,FSL2099.1 - French 20 - 9Y,02-AUG-22,27-JUN-23,EN,f9b57b79-45a6-4ae1-881e-73a04885d699,1108,2023,Semester2,FSL2099
1582289,5,REG,OTH9926CH.1 - Equine Husbandry and Systems 33,03-AUG-21,28-JUN-22,EN,d024b859-0a8f-443b-ba01-92a19651a9ca,1108,2022,FullYear,OTH9926
1582325,5,REG,SCN1270.9 - Science 10,02-AUG-22,30-JAN-23,EN,3f549551-b09c-4448-9696-d5f49a195ad1,1108,2023,Semester1,SCN1270
1582328,5,REG,SCN1270.1 - Science 10,03-AUG-21,30-JAN-22,EN,a3a37de6-0a11-4a1e-84b5-79a2775607de,1306,2022,Semester1,SCN1270
1582405,5,REG,ELA3105.8 - English Language Arts 30-1,02-AUG-22,30-JAN-23,EN,488ac76f-4d03-4326-a200-36b7fbd3a40c,1108,2023,Semester1,ELA3105
1582432,5,REG,SST3771.NB - Social Studies 30-1,19-AUG-21,28-JUN-22,EN,76c238ba-f9b6-4e90-a6bf-0feb7e411802,2239,2022,FullYear,SST3771
1582577,1,REG,COS1010.1 - Personal & Professional Practices,09-SEP-21,30-JAN-22,EN,6ef7ea2d-36ae-4140-9b8b-18034ebfae9e,0590,2022,Semester1,COS1010
1582605,1,REG,FOD1010.1 - Food Basics,01-SEP-22,30-JAN-23,EN,41c088a0-7b06-4ad4-bb15-94ab8ed03387,1203,2023,Semester1,FOD1010
1582644,1,REG,HSA3436.1 - Shampoo and Condition Hair,06-SEP-22,30-JAN-23,EN,791eed7e-59cf-4fdb-a825-fe1ebd1cd939,1101,2023,Semester1,HSA3436
1582651,1,REG,FOD1020.1 - Contemporary Baking,06-SEP-22,30-JAN-23,EN,68d16e53-d3d4-4bf4-89ac-a7c08bf05a8c,1108,2023,Semester1,FOD1020
1582687,1,REG,FOD3080.1 - Advanced Meat Cookery,08-SEP-22,30-JAN-23,EN,84bd727d-4765-4f91-9423-4ad93447e9e1,0590,2023,Semester1,FOD3080
1582714,1,REG,CON1010.1 - Construction Tools & Materials,17-SEP-21,30-JAN-22,EN,76d2d0a8-8d57-48f5-a278-bce6def1b13b,1108,2022,Semester1,CON1010
1582715,1,REG,HSS1010.2 - Health Services Foundations,17-SEP-21,02-NOV-21,EN,ded255f4-41bf-4868-81b7-f93c045188a6,1101,2022,Quarter1,HSS1010
1582717,1,REG,REC1040.2 - Foundations for Training 1,17-SEP-21,02-NOV-21,EN,8130a4da-0604-44f1-9c3e-f9e974520f89,1101,2022,Quarter1,REC1040
1582720,5,REG,SST2772.253 - Social Studies 20-2,17-SEP-21,28-JUN-22,EN,6c681c81-63c7-40a1-9474-b92229a0a9db,1101,2022,Semester2,SST2772
1582746,1,REG,HSS1010.1 - Health Services Foundations,12-SEP-22,30-JAN-23,EN,0f6ff8c8-58c6-47a4-8ec6-528b2d246365,1101,2023,Semester1,HSS1010
1582761,1,REG,FOD1010.2 - Food Basics,13-SEP-22,30-JAN-23,EN,e993dea7-d905-4795-b65e-19776af71c39,1306,2023,Semester1,FOD1010
1582765,1,REG,LGS2010.1 - Family Law,13-SEP-22,30-JAN-23,EN,e7343e2c-a845-48a3-9601-8a6040b1fad2,1101,2023,Semester1,LGS2010
1583926,1,REG,EST1070.3 - Manicuring 1,03-FEB-22,18-APR-22,EN,d64a4187-6e36-42e6-91ed-a877f3caf454,1101,2022,Quarter3,EST1070
